Power,Clock,Temperature
17.611419,3024.855194091797,30.625
2.32407,2766.2278594970703,30.75
13.963266,3032.7036895751953,30.75
1.742832,2740.6790161132812,30.75
2.20813,2803.7737884521484,30.75
1.754688,2604.395980834961,30.75
13.087437,2995.727005004883,30.75
1.169496,2615.1221313476562,31.125
1.754688,2022.9708251953125,31.5
1.111548,2592.1300506591797,31.625
2.32407,2424.8428649902344,31.5
10.240011,2604.255813598633,31.5
1.161594,2684.7861938476562,31.5
2.32407,2394.5550842285156,31.375
1.458288,2013.8479309082031,31.375
1.458288,2493.125457763672,31.25
9.348372,2905.2372436523438,31.25
9.471829,2757.7699432373047,31.25
7.47813,2621.2682495117188,31.25
1.742832,2595.0406188964844,31.125
2.32407,2571.2566986083984,31.125
2.35569,2504.9015197753906,31.125
4.094568,2705.2515716552734,31.0
2.32407,2449.121124267578,31.0
1.742832,2631.133743286133,31.0
57.469532,4585.602935791016,31.875
53.2491,4517.893341064453,43.375
53.007972,4495.213439941406,51.25
53.007972,4491.602600097656,56.5
53.007972,4484.6795654296875,60.125
51.901577,4471.038970947266,62.5
52.766844,4466.6495361328125,64.125
51.901577,4463.413543701172,65.25
51.901577,4461.650177001953,66.125
51.901577,4459.907012939453,66.75
52.766844,4456.8851318359375,67.25
52.766844,4455.326690673828,67.75
52.525716,4451.087951660156,68.125
50.80309,4446.180206298828,68.5
52.525716,4442.022521972656,68.75
51.664403,4439.7974853515625,69.0
52.525716,4439.0218505859375,69.25
52.525716,4437.809478759766,69.5
51.664403,4436.600738525391,69.625
51.150526,4435.380645751953,69.875
51.664403,4434.851593017578,70.125
52.2444,4434.248382568359,70.25
51.664403,4433.3538818359375,70.375
50.29778,4432.613739013672,70.625
52.525716,4431.668762207031,70.75
50.29778,4430.635986328125,71.0
50.29778,4430.5640869140625,71.125
51.664403,4429.174011230469,71.25
51.664403,4427.850891113281,71.625
52.525716,4426.011566162109,72.0
51.3877,4423.635345458984,72.0
51.3877,4422.3428955078125,72.125
51.3877,4419.075408935547,72.125
51.3877,4417.603424072266,72.25
50.531,4415.054290771484,72.375
49.445034,4413.727752685547,72.5
51.3877,4412.533477783203,72.625
50.531,4411.7679443359375,72.75
51.3877,4411.567687988281,72.75
51.3877,4410.417724609375,72.875
50.06456,4409.608428955078,73.0
51.3877,4409.4200439453125,73.125
51.3877,4408.64892578125,73.25
51.3877,4408.235809326172,73.375
52.003272,4408.072814941406,73.5
51.3877,4407.174530029297,73.625
51.3877,4406.811767578125,73.75
51.3877,4405.991516113281,73.75
51.150526,4404.709716796875,73.875
51.3877,4403.898132324219,74.0
51.150526,4400.929260253906,74.125
50.06456,4400.590270996094,74.25
51.3877,4398.930236816406,74.375
50.06456,4396.2039794921875,74.375
50.29778,4396.089599609375,74.5
