Power,Clock,Temperature
13.8348,2555.990249633789,43.0
2.305625,2450.8163146972656,42.75
1.161594,2870.39990234375,42.625
0.979848,2739.468032836914,42.5
1.742832,2846.1690521240234,42.375
2.305625,3082.052947998047,42.25
1.470144,2352.1179809570312,42.125
1.470144,2859.7752380371094,42.125
2.305625,3036.0243225097656,42.5
2.88225,2357.9709396362305,42.25
1.742832,2328.3578186035156,42.125
2.305625,2332.527084350586,42.0
2.32407,3076.294418334961,42.25
0.0,2976.8076171875,42.125
20.117672,3436.759765625,42.5
2.32407,3013.9473571777344,42.375
3.458,2594.795928955078,42.25
19.631865,3535.355224609375,42.75
2.32407,2647.668014526367,42.625
1.152375,2616.3197479248047,42.5
0.489552,2633.8151245117188,42.375
0.481656,2289.6870880126953,42.25
2.88225,2671.4122619628906,42.0
1.470144,2886.410110473633,41.875
9.269316,2495.3837280273438,41.75
1.742832,2703.8389892578125,41.625
9.269316,2654.2079162597656,41.5
4.034625,2515.2994384765625,41.375
0.979848,2352.998748779297,41.25
0.979848,2378.066162109375,41.125
1.655888,2388.7860565185547,41.0
1.96044,2260.3541870117188,40.875
2.305625,2433.7881622314453,40.75
2.305625,2873.699951171875,40.625
2.305625,2699.83837890625,40.5
2.305625,2473.3164672851562,40.5
3.458,2412.1146087646484,40.375
14.694154,2407.9456787109375,40.25
9.269316,2354.4391174316406,40.125
2.305625,2671.597930908203,40.125
2.305625,2461.1700134277344,40.0
2.32407,2514.9137573242188,39.875
3.458,2383.7372436523438,39.75
3.485664,2722.174102783203,39.75
1.729,2451.153549194336,39.625
2.305625,2534.418670654297,39.5
2.305625,2470.5147399902344,39.5
0.979848,2262.3135986328125,39.375
2.88225,2412.801223754883,39.375
2.88225,2972.588180541992,39.375
2.905308,2523.673873901367,39.25
1.94463,2606.320037841797,39.375
8.342103,2775.0884704589844,39.25
2.32407,2766.8805084228516,39.25
2.88225,2203.808883666992,39.125
2.305625,2850.9642791748047,39.125
51.3877,4470.154266357422,48.75
50.531,4440.940277099609,56.75
51.664403,4432.9427490234375,62.125
51.150526,4428.272033691406,65.75
49.6743,4418.803436279297,68.25
51.150526,4412.648864746094,70.0
50.06456,4409.494812011719,71.25
50.531,4406.942138671875,72.125
50.531,4404.4183349609375,72.875
50.06456,4400.83349609375,73.375
50.29778,4394.054962158203,73.875
51.150526,4389.989013671875,74.25
51.150526,4389.218658447266,74.625
50.29778,4387.945770263672,74.875
48.986502,4385.636199951172,75.125
50.29778,4384.371307373047,75.375
51.150526,4381.912902832031,75.75
50.29778,4378.5118408203125,76.0
50.913352,4376.479309082031,76.125
50.29778,4373.793762207031,76.375
49.215768,4371.330505371094,76.625
50.06456,4371.263763427734,76.75
50.06456,4370.13330078125,77.0
50.06456,4368.268615722656,77.125
50.913352,4367.958435058594,77.25
50.06456,4366.1474609375,77.375
49.215768,4363.9033203125,77.625
50.06456,4362.320556640625,77.75
50.06456,4360.768280029297,77.875
50.06456,4359.719268798828,77.875
50.06456,4358.428131103516,78.0
49.215768,4357.761047363281,78.125
50.06456,4356.67236328125,78.25
50.06456,4355.723175048828,78.375
50.06456,4354.307647705078,78.5
48.986502,4352.980529785156,78.625
49.83134,4352.516174316406,78.875
50.06456,4351.826477050781,78.875
48.986502,4350.540710449219,79.0
49.83134,4349.939636230469,79.125
49.83134,4348.731628417969,79.125
49.83134,4347.0885009765625,79.25
49.83134,4346.099517822266,79.375
51.150526,4344.951110839844,79.5
49.83134,4345.207458496094,79.625
49.83134,4344.286529541016,79.625
50.676178,4343.490753173828,79.75
49.83134,4343.07666015625,79.875
49.83134,4342.7685546875,80.0
49.83134,4342.505859375,80.0
48.986502,4342.045349121094,80.125
48.986502,4341.88232421875,80.25
49.83134,4340.765930175781,80.375
48.986502,4339.645446777344,80.5
49.83134,4339.363098144531,80.5
49.83134,4337.919250488281,80.625
49.83134,4337.277374267578,80.75
48.986502,4337.216491699219,80.75
49.83134,4336.239288330078,80.875
30.275154,4337.781402587891,80.875
2.88225,3185.4962615966797,80.25
2.305625,2718.709442138672,79.25
8.490328,2874.841552734375,78.125
14.7574,2600.4310455322266,77.125
1.470144,2816.9158477783203,76.125
2.305625,3129.484619140625,75.125
1.152375,2699.5767822265625,74.125
1.470144,2825.244140625,73.25
4.034625,2771.9095916748047,72.25
14.7574,2774.1503295898438,71.375
1.470144,2495.9208374023438,70.5
1.729,2805.174102783203,69.625
2.905308,2841.1198120117188,68.75
2.305625,2387.9451751708984,68.0
2.305625,2472.373550415039,67.125
